name,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,"distance_to_center, km",result
Sytaya Akula,,3.9,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",37.0,59.9155173,30.30949540000001,['Технологический институт-1'],0.5188180940410483,16,4,9,30,94,0,2.2432258309623236,144.29999999999998
Кальянная Hustle,,5.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",27.0,59.9246272,30.3563929,['Лиговский проспект'],0.4370383225645053,36,35,34,52,119,0,2.0800395631862894,135.0
Wood bar,2.0,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",308.0,59.926036,30.352349,['Достоевская'],0.2966785207514418,52,43,49,67,136,0,1.805490163397467,1447.6000000000001
Кальянная 1/2 OF YOU,,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",97.0,59.931,30.359419899999995,['Площадь Восстания'],0.07522573431112049,71,49,36,70,119,0,1.9871749483693562,455.90000000000003
Антикафе-кальянная Terra 13 Lounge,,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",24.0,59.934828,30.3350216,['Гостиный Двор'],0.11141626891306676,134,80,31,182,80,0,0.5948673952053503,112.80000000000001
Кальянная Тайга Lounge,,5.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7.0,59.93462299999999,30.374359100000003,['Площадь Восстания'],0.8573471096643649,25,27,7,24,94,0,2.7905028803776806,35.0
LEO SHAVERMA BAR,,4.8,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",18.0,59.93562499999999,30.361675,['Площадь Восстания'],0.4672855139906011,54,52,29,60,108,0,2.0869543468988656,86.39999999999999
Microphone,,4.3,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",11.0,59.9384166,30.3586793,['Чернышевская'],0.6868534803643832,40,37,23,57,103,0,1.9701840212066164,47.3
Kofe Narushiteli,,4.6,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,59.94193620000001,30.35723149999999,['Чернышевская'],0.3243476192697043,26,33,10,44,124,0,2.0249321110307474,174.79999999999998
shaverma 1,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,59.8110679,30.1685687,['Проспект Ветеранов'],5.7831908648535775,0,0,0,0,1,0,16.261337720881862,126.0
